country_alpha_2,region
AF,Asia
AX,Europe
AL,Europe
DZ,Africa
AS,Oceania
AD,Europe
AO,Africa
AI,Caribbean
AG,Caribbean
AR,South America
AM,Asia
AW,Caribbean
AU,Oceania
AT,Europe
AZ,Asia
BS,Caribbean
BH,Asia
BD,Asia
BB,Caribbean
BY,Europe
BE,Europe
BZ,Central America
BJ,Africa
BM,North America
BT,Asia
BO,South America
BQ,Caribbean
BA,Europe
BW,Africa
BV,South America
BR,South America
IO,Africa
BN,Asia
BG,Europe
BF,Africa
BI,Africa
CV,Africa
KH,Asia
CM,Africa
CA,North America
KY,Caribbean
CF,Africa
TD,Africa
CL,South America
CN,Asia
CX,Oceania
CC,Oceania
CO,South America
KM,Africa
CG,Africa
CD,Africa
CK,Oceania
CR,Central America
CI,Africa
HR,Europe
CU,Caribbean
CW,Caribbean
CY,Asia
CZ,Europe
DK,Europe
DJ,Africa
DM,Caribbean
DO,Caribbean
EC,South America
EG,Africa
SV,Central America
GQ,Africa
ER,Africa
EE,Europe
SZ,Africa
ET,Africa
FK,South America
FO,Europe
FJ,Oceania
FI,Europe
FR,Europe
GF,South America
PF,Oceania
TF,Africa
GA,Africa
GM,Africa
GE,Asia
DE,Europe
GH,Africa
GI,Europe
GR,Europe
GL,North America
GD,Caribbean
GP,Caribbean
GU,Oceania
GT,Central America
GG,Europe
GN,Africa
GW,Africa
GY,South America
HT,Caribbean
HM,Oceania
VA,Europe
HN,Central America
HK,Asia
HU,Europe
IS,Europe
IN,Asia
ID,Asia
IR,Asia
IQ,Asia
IE,Europe
IM,Europe
IL,Asia
IT,Europe
JM,Caribbean
JP,Asia
JE,Europe
JO,Asia
KZ,Asia
KE,Africa
KI,Oceania
KP,Asia
KR,Asia
KW,Asia
KG,Asia
LA,Asia
LV,Europe
LB,Asia
LS,Africa
LR,Africa
LY,Africa
LI,Europe
LT,Europe
LU,Europe
MO,Asia
MG,Africa
MW,Africa
MY,Asia
MV,Asia
ML,Africa
MT,Europe
MH,Oceania
MQ,Caribbean
MR,Africa
MU,Africa
YT,Africa
MX,North America
FM,Oceania
MD,Europe
MC,Europe
MN,Asia
ME,Europe
MS,Caribbean
MA,Africa
MZ,Africa
MM,Asia
NA,Africa
NR,Oceania
NP,Asia
NL,Europe
NC,Oceania
NZ,Oceania
NI,Central America
NE,Africa
NG,Africa
NU,Oceania
NF,Oceania
MK,Europe
MP,Oceania
NO,Europe
OM,Asia
PK,Asia
PW,Oceania
PS,Asia
PA,Central America
PG,Oceania
PY,South America
PE,South America
PH,Asia
PN,Oceania
PL,Europe
PT,Europe
PR,Caribbean
QA,Asia
RE,Africa
RO,Europe
RU,Europe
RW,Africa
BL,Caribbean
SH,Africa
KN,Caribbean
LC,Caribbean
MF,Caribbean
PM,North America
VC,Caribbean
WS,Oceania
SM,Europe
ST,Africa
SA,Asia
SN,Africa
RS,Europe
SC,Africa
SL,Africa
SG,Asia
SX,Caribbean
SK,Europe
SI,Europe
SB,Oceania
SO,Africa
ZA,Africa
GS,South America
SS,Africa
ES,Europe
LK,Asia
SD,Africa
SR,South America
SJ,Europe
SE,Europe
CH,Europe
SY,Asia
TW,Asia
TJ,Asia
TZ,Africa
TH,Asia
TL,Asia
TG,Africa
TK,Oceania
TO,Oceania
TT,Caribbean
TN,Africa
TR,Asia
TM,Asia
TC,Caribbean
TV,Oceania
UG,Africa
UA,Europe
AE,Asia
GB,Europe
US,North America
UM,Oceania
UY,South America
UZ,Asia
VU,Oceania
VE,South America
VN,Asia
VG,Caribbean
VI,Caribbean
WF,Oceania
EH,Africa
YE,Asia
ZM,Africa
ZW,Africa
